root/Acapulco/L/ESP/FernandoVerdasco,root/Acapulco/L/ESP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0,0,0,0,0,0,0
root/Acapulco/L/ESP/RafaelNadal,root/Acapulco/L/ESP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0,0,0,0,56.0
root/Acapulco/R,root/Acapulco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.0,14.0,43.0,79.0,30.0,36.0,0,55.0,50.0,55.0,108.0,91.0,88.0,75.0,140.0,51.0,112.0
root/Acapulco/R/ARG,root/Acapulco/R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,0,16.0,36.0,0,48.0,0,0,0,0,0,0,0,0,0
root/Acapulco/R/ARG/DavidNalbandian,root/Acapulco/R/ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,0,0,0,0,48.0,0,0,0,0,0,0,0,0,0
root/Acapulco/R/ARG/GastonGaudio,root/Acapulco/R/ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.0,0,0,0,0,0,0,0,0,0,0,0
root/Acapulco/R/ARG/GuillermoCanas,root/Acapulco/R/ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,0,0,0,0,0,0,0,0,0,0,0,0
root/Acapulco/R/AUS,root/Acapulco/R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0
root/Acapulco/R/AUS/NickKyrgios,root/Acapulco/R/AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0
root/Acapulco/R/AUT,root/Acapulco/R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,22.0
