root/LatinAmerica&CaribbeanArgentina,root,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,100.0,90.0,90.0
root/LatinAmerica&CaribbeanBelize,root,0,60.0,60.0,50.0,50.0,50.0,50.0,40.0,60.0,60.0,40.0,40.0,60.0,60.0
root/LatinAmerica&CaribbeanBolivia,root,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,80.0,80.0,80.0,80.0
root/LatinAmerica&CaribbeanBrazil,root,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,70.0,60.0,60.0,60.0,60.0
root/LatinAmerica&CaribbeanChile,root,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
root/LatinAmerica&CaribbeanColombia,root,80.0,60.0,60.0,80.0,80.0,80.0,80.0,80.0,80.0,60.0,60.0,80.0,80.0,80.0
root/LatinAmerica&CaribbeanCostaRica,root,70.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,80.0,80.0,80.0
root/LatinAmerica&CaribbeanDominica,root,0,60.0,60.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,60.0,60.0
root/LatinAmerica&CaribbeanDominicanRepublic,root,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,80.0,80.0,80.0,80.0,80.0
root/LatinAmerica&CaribbeanEcuador,root,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,60.0,60.0,50.0,50.0,40.0,40.0
root/LatinAmerica&CaribbeanElSalvador,root,60.0,60.0,60.0,60.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
root/LatinAmerica&CaribbeanGrenada,root,0,60.0,60.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,60.0,60.0,60.0
root/LatinAmerica&CaribbeanGuatemala,root,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,90.0,80.0,80.0,80.0,90.0
root/LatinAmerica&CaribbeanGuyana,root,0,30.0,30.0,40.0,50.0,50.0,40.0,40.0,30.0,30.0,30.0,30.0,40.0,40.0
root/LatinAmerica&CaribbeanHaiti,root,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,20.0,30.0,50.0,50.0,30.0,20.0
