root/LatinAmerica&Caribbean/Paraguay,root/LatinAmerica&Caribbean,30.8,23.6,18.3,17.3,16.5,15.6,14.9,14.1,13.4
root/LatinAmerica&Caribbean/Peru,root/LatinAmerica&Caribbean,12.1,9.0,6.7,6.3,6.0,5.7,5.4,5.0,4.8
root/LatinAmerica&Caribbean/Suriname,root/LatinAmerica&Caribbean,50.0,41.3,33.1,31.5,30.1,28.7,27.5,26.2,25.0
root/LatinAmerica&Caribbean/Uruguay,root/LatinAmerica&Caribbean,52.7,36.7,25.7,23.9,22.3,20.8,19.3,18.1,16.8
root/MiddleEast&NorthAfrica,root,359.4,349.5,348.29999999999995,347.8,347.9,347.4000000000001,348.30000000000007,348.6000000000001,348.99999999999994
root/MiddleEast&NorthAfrica/Algeria,root/MiddleEast&NorthAfrica,16.6,15.5,15.2,15.2,15.3,15.3,15.4,15.5,15.6
root/MiddleEast&NorthAfrica/Bahrain,root/MiddleEast&NorthAfrica,22.4,23.7,25.0,25.2,25.4,25.6,25.8,26.0,26.4
root/MiddleEast&NorthAfrica/Djibouti,root/MiddleEast&NorthAfrica,17.6,16.0,14.5,14.3,14.0,13.7,13.6,13.3,13.1
root/MiddleEast&NorthAfrica/EgyptArabRep,root/MiddleEast&NorthAfrica,17.6,19.3,21.8,22.2,22.6,23.3,24.0,24.6,25.2
root/MiddleEast&NorthAfrica/IranIslamicRep,root/MiddleEast&NorthAfrica,17.5,14.9,12.8,12.5,12.1,11.8,11.5,11.3,11.0
root/MiddleEast&NorthAfrica/Israel,root/MiddleEast&NorthAfrica,31.9,29.4,27.4,27.0,26.6,26.2,25.9,25.6,25.2
root/MiddleEast&NorthAfrica/Kuwait,root/MiddleEast&NorthAfrica,24.8,24.4,22.8,22.6,22.5,22.5,22.5,22.5,22.5
root/MiddleEast&NorthAfrica/Lebanon,root/MiddleEast&NorthAfrica,37.5,36.1,35.1,34.7,34.8,34.2,34.2,33.9,33.8
root/MiddleEast&NorthAfrica/Malta,root/MiddleEast&NorthAfrica,35.3,31.7,28.7,28.1,27.7,27.0,26.5,26.0,25.5
root/MiddleEast&NorthAfrica/Morocco,root/MiddleEast&NorthAfrica,18.7,19.2,20.6,21.0,21.4,21.9,22.3,22.9,23.4
root/MiddleEast&NorthAfrica/Oman,root/MiddleEast&NorthAfrica,8.2,8.5,9.4,9.8,10.2,10.6,10.8,11.1,11.1
root/MiddleEast&NorthAfrica/Qatar,root/MiddleEast&NorthAfrica,16.5,17.4,20.1,20.3,20.2,20.3,20.4,20.4,20.6
root/MiddleEast&NorthAfrica/SaudiArabia,root/MiddleEast&NorthAfrica,14.5,14.6,15.1,15.3,15.2,15.3,15.5,15.6,15.6
root/MiddleEast&NorthAfrica/Tunisia,root/MiddleEast&NorthAfrica,31.8,31.1,31.7,31.8,31.9,32.1,32.4,32.6,32.7
root/MiddleEast&NorthAfrica/UnitedArabEmirates,root/MiddleEast&NorthAfrica,25.2,26.3,28.2,28.2,28.5,28.6,28.6,28.6,28.9
root/MiddleEast&NorthAfrica/YemenRep,root/MiddleEast&NorthAfrica,23.3,21.4,19.9,19.6,19.5,19.0,18.9,18.7,18.4
root/NorthAmerica,root,59.599999999999994,50.7,43.2,41.900000000000006,40.8,39.6,38.4,37.3,36.1
