root/Europe&CentralAsiaBelgium,root,6900.0,7000.0,6800.0,6800.0,6600.0,6400.0,6400.0,6700.0,6600.0,6900.0,6800.0,7100.0,7400.0,7700.0,7900.0,7800.0,7800.0,7400.0,7500.0,7400.0,7400.0,7400.0,8400.0,7700.0,7800.0,8000.0
root/Europe&CentralAsiaBosniaandHerzegovina,root,1900.0,1900.0,2100.0,2200.0,2400.0,2700.0,2800.0,3000.0,3500.0,3900.0,4200.0,4800.0,5400.0,5600.0,5500.0,6000.0,5800.0,5600.0,5900.0,5700.0,6000.0,6300.0,6300.0,6500.0,6600.0,6800.0
root/Europe&CentralAsiaBulgaria,root,2300.0,2600.0,2600.0,2900.0,2900.0,3200.0,3400.0,3200.0,3700.0,3800.0,4100.0,4200.0,4600.0,4800.0,4800.0,4900.0,5200.0,5600.0,5900.0,6100.0,6100.0,6100.0,6700.0,6200.0,6200.0,6200.0
root/Europe&CentralAsiaCroatia,root,6400.0,5400.0,5900.0,5900.0,5500.0,5500.0,4700.0,5500.0,5600.0,6300.0,6300.0,6900.0,6800.0,6700.0,6500.0,6700.0,6700.0,6400.0,6200.0,6400.0,6400.0,6500.0,7000.0,7300.0,7600.0,7900.0
root/Europe&CentralAsiaCyprus,root,2400.0,2500.0,2300.0,2800.0,2500.0,2600.0,3500.0,3400.0,3700.0,3800.0,3600.0,6300.0,6000.0,6600.0,7100.0,5300.0,7300.0,7900.0,7600.0,7800.0,8400.0,8800.0,9200.0,9200.0,9300.0,9400.0
root/Europe&CentralAsiaCzechRepublic,root,4100.0,4200.0,4900.0,5600.0,6600.0,7500.0,9100.0,9700.0,11500.0,12200.0,12000.0,12100.0,12400.0,11900.0,12100.0,11600.0,12000.0,12600.0,12600.0,13000.0,14300.0,14300.0,14900.0,14900.0,14900.0,14800.0
root/Europe&CentralAsiaDenmark,root,5700.0,5600.0,5300.0,5200.0,4900.0,4800.0,5100.0,5200.0,5800.0,5400.0,6100.0,6100.0,6000.0,6200.0,6300.0,6700.0,7000.0,6700.0,6900.0,7400.0,8000.0,7600.0,8900.0,9100.0,9300.0,9500.0
root/Europe&CentralAsiaEstonia,root,1200.0,1400.0,1500.0,1400.0,1200.0,1700.0,2200.0,2700.0,2700.0,3100.0,3100.0,3200.0,3400.0,3800.0,4200.0,4400.0,5100.0,4900.0,5500.0,5800.0,7300.0,6000.0,6600.0,6500.0,6400.0,6300.0
root/Europe&CentralAsiaFinland,root,9600.0,10100.0,9900.0,10800.0,11600.0,11900.0,12600.0,12300.0,13300.0,13500.0,13000.0,13800.0,13900.0,14900.0,13500.0,14500.0,15900.0,15600.0,16800.0,16500.0,17700.0,20200.0,20000.0,21000.0,21400.0,21700.0
root/Europe&CentralAsiaFrance,root,3800.0,3800.0,3800.0,3800.0,4000.0,3900.0,4100.0,4400.0,4400.0,4500.0,4700.0,4700.0,4800.0,4900.0,5200.0,5200.0,5200.0,5300.0,5200.0,5200.0,5700.0,5900.0,5900.0,5900.0,6000.0,6100.0
